ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
3efbc6f1bb77a16468fc3010e825d4c2	Arthropoda	Insecta	Hemiptera				85.35	public	2	Order		1--2	1
20948ef95716e419d81674d438f011d1	Arthropoda	Insecta	Lepidoptera				85.625	public	1	Order		1--4	1
3a179d2e27ee26327f2870a19392ea4d	Arthropoda	Insecta	Lepidoptera				85.897	public	2	Order		1--2	1
6a7b7659c51cd4fdf0f19858d5201bc8	Arthropoda	Insecta	Coleoptera				87.188	public	2	Order		2	1
3b332c00762417f4e2a6105ee13c1141	Arthropoda	Insecta	Hymenoptera	Diapriidae			90.312	public	1	Family		4	1
6cbb504d82a449ccf5135d3de99a5785	Arthropoda	Insecta	Hemiptera	Miridae			92.476	public	2	Family		1	1
1d0e41c4d090198cbcac065072495b12	Arthropoda	Insecta	Lepidoptera				85.577	public	1	Order		1--4	1
ee5bdf3921595371adcc8362d60a51d4	Arthropoda	Collembola	Symphypleona	Katiannidae	Sminthurinus		97.161	public	14	Genus			1
94addde3d3069c0bed98d3f095f4c1f4	Arthropoda	Insecta	Hymenoptera				86.875	public	1	Order		4	1
4bfb3d5ece1523ca73951ac01ac01823	Arthropoda	Insecta	Lepidoptera				85.577	public	1	Order		1--4	1
733f978c76f67e367289e646ea1ab6bc	Arthropoda	Insecta	Hemiptera				85.577	public	2	Order		1--2	1
6464091940c40aa748361f6be952e716	Arthropoda	Insecta	Hymenoptera				88.088	public	1	Order		2--4	1
6346918794e99f7412d20b2a18d80ba4	Arthropoda	Insecta	Hymenoptera				85.266	public	1	Order		2--4	1
d325363afbf6bfbc996f33827390e74c	Arthropoda	Insecta	Hymenoptera				87.147	public	1	Order		2--4	1
5e8a94285dd0ef782ea9dbd06cb49459	Arthropoda	Insecta	Hymenoptera				86.335	public	1	Order		2--4	1
5ac23883c08b79d57300ea9add4caae5	Arthropoda	Insecta	Hymenoptera				85.312	public	1	Order		4	1
03c49a93de46a59389b2ed504f9f8047	Arthropoda	Insecta	Hymenoptera				88.217	public	1	Order		4	1
6f49852f57bf7ae806e7f09e7d8227f3	Arthropoda	Insecta	Hymenoptera				86.25	public	1	Order		2--4	1
ce9fe15761bd8bf13ce3a6c2573f665e	Arthropoda	Insecta	Hemiptera	Miridae			92.453	public	2	Family		1	1
5c683eeb63690ff57c175c8cc2ef8930	Arthropoda	Insecta	Lepidoptera				85.047	public	1	Order		1--4	1
104aae68f846d83b018d8eada8c1b067	Arthropoda	Collembola	Entomobryomorpha	Isotomidae	Parisotoma	Parisotoma notabilis	100.0	public	31	Species	BOLD:AAA4157		1
8253f62d3348d39a5eba45da943059ab	Arthropoda	Insecta	Hemiptera				85.804	public	2	Order		1--2	1
b26c4559561f57634ca2ff3fab5a2077	Arthropoda	Insecta	Lepidoptera				85.174	public	1	Order		1--4	1
2d1a29cf35be1f86cafe6ef3a45e2a69	Arthropoda	Insecta	Lepidoptera				86.562	public	1	Order		1--4	1
f4d10ba61ed0f335b6aae5b60c84a684	Arthropoda	Insecta	Lepidoptera				85.893	public	1	Order		1--4	1
3558641f6541e1a7383d0c33614a4ce5	Arthropoda	Insecta	Hymenoptera				86.139	public	1	Order		2--4	1
dc5612d1371232285f73a218de2af5d0	Arthropoda	Insecta	Hymenoptera				87.421	public	1	Order		4	1
b9109c9e0dc47be2c1aad1c7556756e5	Arthropoda	Insecta	Lepidoptera				85.577	public	1	Order		1--4	1
ba9696b0b94f1189d0cca4ab1addc81e	Arthropoda	Insecta	Lepidoptera				86.562	public	1	Order		1--4	1
cbf146d58566c1eb0d6b9f6dffd4ec60	Arthropoda	Insecta	Lepidoptera				85.938	public	1	Order		1--4	1
db7bc4708f62a085c9fb53be0e44564a	Arthropoda	Insecta	Hemiptera				85.304	public	2	Order		1--2	1
7b2fa28075dcee3f1568fc8db40fd02b	Arthropoda	Insecta	Lepidoptera				85.266	public	1	Order		1--4	1
5996078cb95ab361f09b555eb6987bca	Arthropoda	Insecta	Lepidoptera				86.025	public	2	Order		1--2	1
e5c4dd821c80c7a84afbe35dcfe16585	Arthropoda	Insecta	Diptera	Cecidomyiidae	Dasineura		96.094	public	1	Genus		1--4	1
984d1b9f5b66bccc349ca641f3434b74	Arthropoda	Insecta	Coleoptera				88.162	public	2	Order		2	1
99c662ee02f65db48e8d4ee073617eb1	Arthropoda	Insecta	Hymenoptera				86.562	public	1	Order		2--4	1
a2f74c5fb6dd37dd86b9f77913a6121c	Arthropoda	Arachnida	Sarcoptiformes	Oppiidae	Ramusella	Ramusella insculpta	100.0	public	2	Species	BOLD:AFB0279		1
e2102b43ff3591b5821e82cb5a9745f4	Arthropoda	Copepoda	Calanoida				85.762	public	1	Order		2--4	1
915f153a40663aed1f4314bcd866cce7	Arthropoda	Insecta	Hemiptera				85.22	public	2	Order		1	1
5edccf65823b80a78d4148d77ef62c5b	Arthropoda	Diplura	Rhabdura	Campodeidae	Campodea	Campodea fragilis	98.462	public	2	Species	BOLD:ADC6342		1
7bd3286bf9cf033bb43c40a4deb1ea0f	Arthropoda	Insecta	Lepidoptera				86.711	public	1	Order		1--4	1
b2e2f8122be2a13264ac751ac2fe3ce8	Arthropoda	Insecta	Lepidoptera				89.969	public	1	Order		1--4	1
63ceaf7bd24a8efb84a6826e64169241	Arthropoda	Insecta	Lepidoptera				85.893	public	1	Order		1--2--4	1
054df50401432c05fa65c89e0f61f6ae	Arthropoda	Insecta	Hymenoptera				86.25	public	1	Order		2--4	1
62aa31c01bab86d1ecfd272c4b9dbbbf	Arthropoda	Insecta	Hemiptera	Miridae			93.082	public	2	Family		1	1
ebd9382f97128ed1e418d7efb6ff43cd	Arthropoda	Insecta	Lepidoptera				85.804	public	1	Order		1--4	1
b5bbab7044458f11473bf8c97efa85a5	Arthropoda	Insecta	Hymenoptera				85.893	public	1	Order		4	1
2a18e43497afb8fa52697bb061fa75a8	Arthropoda	Insecta	Hemiptera				86.207	public	2	Order		1--2	1
06b6eb6e10215c532b41877c5fe2afa5	Arthropoda	Insecta	Lepidoptera				85.526	public	1	Order		1--4	1
df303be0f75d38198808eef306d39744	Arthropoda	Insecta	Hemiptera				85.256	public	2	Order		1--2	1
c484bda790c0e4640dc72e23b81527dc	Arthropoda	Collembola	Poduromorpha	Tullbergiidae			92.476	public	5	Family			1
